type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0050,0.0,0.0,0.0,0
V0,0,I0051,0.0,0.0,20.0,0
V0,1,I0052,0.0,0.0,0.0,0
V0,1,I0053,0.0,0.0,20.0,0
V0,2,I0054,0.0,0.0,0.0,0
V0,2,I0055,0.0,0.0,20.0,0
V0,3,I0056,0.0,0.0,0.0,0
V0,3,I0057,0.0,0.0,20.0,0
V0,4,I0058,0.0,0.0,0.0,0
V0,4,I0059,0.0,0.0,20.0,0
V0,5,I0060,0.0,0.0,0.0,0
V0,5,I0061,0.0,0.0,20.0,0
V0,6,I0062,0.0,0.0,0.0,0
V0,6,I0063,0.0,0.0,20.0,0
V0,7,I0064,0.0,0.0,0.0,0
V0,7,I0065,0.0,0.0,20.0,0
V0,8,I0066,0.0,0.0,0.0,0
V0,8,I0067,0.0,0.0,20.0,0
V0,9,I0068,0.0,0.0,0.0,0
V0,9,I0069,0.0,0.0,20.0,0
V0,10,I0070,0.0,0.0,0.0,0
V0,10,I0071,0.0,0.0,20.0,0
V0,11,I0072,0.0,0.0,0.0,0
V0,11,I0073,0.0,0.0,20.0,0
V0,12,I0074,0.0,0.0,0.0,0
V0,12,I0075,0.0,0.0,20.0,0
V0,13,I0076,0.0,0.0,0.0,0
V0,13,I0077,0.0,0.0,20.0,0
V0,14,I0078,0.0,0.0,0.0,0
V0,14,I0079,0.0,0.0,20.0,0
V0,15,I0080,0.0,0.0,0.0,0
V0,15,I0081,0.0,0.0,20.0,0
V0,16,I0082,0.0,0.0,0.0,0
V0,16,I0083,0.0,0.0,20.0,0
V0,17,I0084,0.0,0.0,0.0,0
V0,17,I0085,0.0,0.0,20.0,0
V0,18,I0086,0.0,0.0,0.0,0
V0,18,I0087,0.0,0.0,20.0,0
V0,19,I0088,0.0,0.0,0.0,0
V0,19,I0089,0.0,0.0,20.0,0
V0,20,I0090,0.0,0.0,0.0,0
V0,20,I0091,0.0,0.0,20.0,0
V0,21,I0092,0.0,0.0,0.0,0
V0,21,I0093,0.0,0.0,20.0,0
V0,22,I0094,0.0,0.0,0.0,0
V0,22,I0095,0.0,0.0,20.0,0
V0,23,I0096,0.0,0.0,0.0,0
V0,23,I0097,0.0,0.0,20.0,0
V0,24,I0098,0.0,0.0,0.0,0
V0,24,I0099,0.0,0.0,20.0,0
V0,25,I0100,0.0,0.0,0.0,0
V0,25,I0101,0.0,0.0,20.0,0
V0,26,I0102,0.0,0.0,0.0,0
V0,26,I0103,0.0,0.0,20.0,0
V0,27,I0104,0.0,0.0,0.0,0
V0,27,I0105,0.0,0.0,20.0,0
V0,28,I0106,0.0,0.0,0.0,0
V0,28,I0107,0.0,0.0,20.0,0
V0,29,I0108,0.0,0.0,0.0,0
V0,29,I0109,0.0,0.0,20.0,0
V0,30,I0000,0.0,0.0,0.0,0
V0,30,I0001,0.0,0.0,24.0,0
V0,31,I0002,0.0,0.0,0.0,0
V0,31,I0003,0.0,0.0,24.0,0
V0,32,I0004,0.0,0.0,0.0,0
V0,32,I0005,0.0,0.0,24.0,0
V0,33,I0006,0.0,0.0,0.0,0
V0,33,I0007,0.0,0.0,24.0,0
V0,34,I0008,0.0,0.0,0.0,0
V0,34,I0009,0.0,0.0,24.0,0
V0,35,I0010,0.0,0.0,0.0,0
V0,35,I0011,0.0,0.0,24.0,0
V0,36,I0012,0.0,0.0,0.0,0
V0,36,I0013,0.0,0.0,24.0,0
V0,37,I0014,0.0,0.0,0.0,0
V0,37,I0015,0.0,0.0,24.0,0
V0,38,I0016,0.0,0.0,0.0,0
V0,38,I0017,0.0,0.0,24.0,0
V0,39,I0018,0.0,0.0,0.0,0
V0,39,I0019,0.0,0.0,24.0,0
V0,40,I0020,0.0,0.0,0.0,0
V0,40,I0021,0.0,0.0,24.0,0
V0,41,I0022,0.0,0.0,0.0,0
V0,41,I0023,0.0,0.0,24.0,0
V0,42,I0024,0.0,0.0,0.0,0
V0,42,I0025,0.0,0.0,24.0,0
V0,43,I0026,0.0,0.0,0.0,0
V0,43,I0027,0.0,0.0,24.0,0
V0,44,I0028,0.0,0.0,0.0,0
V0,44,I0029,0.0,0.0,24.0,0
V0,45,I0030,0.0,0.0,0.0,0
V0,45,I0031,0.0,0.0,24.0,0
V0,46,I0032,0.0,0.0,0.0,0
V0,46,I0033,0.0,0.0,24.0,0
V0,47,I0034,0.0,0.0,0.0,0
V0,47,I0035,0.0,0.0,24.0,0
V0,48,I0036,0.0,0.0,0.0,0
V0,48,I0037,0.0,0.0,24.0,0
V0,49,I0038,0.0,0.0,0.0,0
V0,49,I0039,0.0,0.0,24.0,0
V0,50,I0040,0.0,0.0,0.0,0
V0,50,I0041,0.0,0.0,24.0,0
V0,51,I0042,0.0,0.0,0.0,0
V0,51,I0043,0.0,0.0,24.0,0
V0,52,I0044,0.0,0.0,0.0,0
V0,52,I0045,0.0,0.0,24.0,0
V0,53,I0046,0.0,0.0,0.0,0
V0,53,I0047,0.0,0.0,24.0,0
V0,54,I0048,0.0,0.0,0.0,0
V0,54,I0049,0.0,0.0,24.0,0
