type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0075,0.0,0.0,0.0,4
V0,0,I0076,15.0,0.0,0.0,4
V0,0,I0077,30.0,0.0,0.0,4
V0,0,I0078,0.0,15.0,0.0,1
V0,0,I0079,15.0,15.0,0.0,1
V0,0,I0080,30.0,15.0,0.0,1
V0,0,I0081,0.0,0.0,5.0,4
V0,0,I0082,15.0,0.0,5.0,4
V0,0,I0083,30.0,0.0,5.0,4
V0,0,I0084,0.0,0.0,10.0,4
V0,0,I0085,15.0,0.0,10.0,4
V0,0,I0086,30.0,0.0,10.0,4
V0,0,I0087,0.0,0.0,15.0,4
V0,0,I0088,15.0,0.0,15.0,4
V0,0,I0089,30.0,0.0,15.0,4
V0,0,I0013,0.0,15.0,15.0,0
V0,0,I0016,10.0,15.0,15.0,0
V0,0,I0019,20.0,15.0,15.0,0
V0,0,I0021,30.0,15.0,15.0,0
V0,1,I0090,0.0,0.0,0.0,4
V0,1,I0091,15.0,0.0,0.0,4
V0,1,I0092,30.0,0.0,0.0,4
V0,1,I0093,0.0,15.0,0.0,1
V0,1,I0094,15.0,15.0,0.0,1
V0,1,I0095,30.0,15.0,0.0,1
V0,1,I0096,0.0,0.0,5.0,4
V0,1,I0097,15.0,0.0,5.0,4
V0,1,I0098,30.0,0.0,5.0,4
V0,1,I0099,0.0,0.0,10.0,4
V0,1,I0100,15.0,0.0,10.0,4
V0,1,I0101,30.0,0.0,10.0,4
V0,1,I0102,0.0,0.0,15.0,4
V0,1,I0035,15.0,0.0,15.0,4
V0,1,I0036,25.0,0.0,15.0,4
V0,1,I0037,35.0,0.0,15.0,4
V0,1,I0014,0.0,15.0,15.0,0
V0,1,I0017,10.0,15.0,15.0,0
V0,1,I0020,20.0,15.0,15.0,0
V0,1,I0022,30.0,15.0,15.0,0
V0,2,I0038,0.0,0.0,0.0,5
V0,2,I0039,15.0,0.0,0.0,5
V0,2,I0040,0.0,10.0,0.0,5
V0,2,I0041,15.0,10.0,0.0,5
V0,2,I0042,30.0,0.0,0.0,4
V0,2,I0043,40.0,0.0,0.0,0
V0,2,I0044,30.0,15.0,0.0,1
V0,2,I0045,0.0,0.0,5.0,4
V0,2,I0046,10.0,0.0,5.0,4
V0,2,I0047,20.0,0.0,5.0,4
V0,2,I0048,30.0,0.0,5.0,4
V0,2,I0049,0.0,15.0,5.0,1
V0,2,I0050,15.0,15.0,5.0,1
V0,2,I0051,0.0,0.0,10.0,4
V0,2,I0052,10.0,0.0,10.0,4
V0,2,I0053,20.0,0.0,10.0,4
V0,2,I0054,30.0,0.0,10.0,4
V0,2,I0055,40.0,0.0,10.0,0
V0,2,I0056,30.0,15.0,10.0,1
V0,2,I0057,0.0,0.0,15.0,4
V0,2,I0058,10.0,0.0,15.0,4
V0,2,I0059,20.0,0.0,15.0,4
V0,2,I0060,30.0,0.0,15.0,4
V0,2,I0012,0.0,15.0,15.0,0
V0,2,I0015,10.0,15.0,15.0,0
V0,2,I0018,20.0,15.0,15.0,0
V0,3,I0061,0.0,0.0,0.0,5
V0,3,I0062,15.0,0.0,0.0,5
V0,3,I0063,0.0,10.0,0.0,5
V0,3,I0064,15.0,10.0,0.0,5
V0,3,I0065,30.0,0.0,0.0,4
V0,3,I0066,40.0,0.0,0.0,0
V0,3,I0067,30.0,15.0,0.0,1
V0,3,I0068,0.0,0.0,5.0,4
V0,3,I0069,10.0,0.0,5.0,4
V0,3,I0070,20.0,0.0,5.0,4
V0,3,I0071,30.0,0.0,5.0,4
V0,3,I0072,0.0,15.0,5.0,1
V0,3,I0073,15.0,15.0,5.0,1
V0,3,I0074,0.0,0.0,10.0,4
V0,3,I0000,10.0,0.0,10.0,0
V0,3,I0001,10.0,5.0,10.0,0
V0,3,I0002,20.0,0.0,10.0,0
V0,3,I0003,10.0,10.0,10.0,0
V0,3,I0004,20.0,5.0,10.0,0
V0,3,I0005,30.0,0.0,10.0,0
V0,3,I0006,20.0,10.0,10.0,0
V0,3,I0007,30.0,5.0,10.0,0
V0,3,I0008,40.0,0.0,10.0,1
V0,3,I0009,30.0,10.0,10.0,0
V0,3,I0010,30.0,15.0,10.0,0
V0,3,I0011,40.0,10.0,10.0,1
V0,3,I0023,0.0,0.0,15.0,0
V0,3,I0024,0.0,5.0,15.0,0
V0,3,I0025,10.0,0.0,15.0,0
V0,3,I0026,0.0,10.0,15.0,0
V0,3,I0027,10.0,5.0,15.0,0
V0,3,I0028,20.0,0.0,15.0,0
V0,3,I0029,0.0,15.0,15.0,0
V0,3,I0030,10.0,10.0,15.0,0
V0,3,I0031,20.0,5.0,15.0,0
V0,3,I0032,30.0,0.0,15.0,0
V0,3,I0033,10.0,15.0,15.0,0
V0,3,I0034,20.0,10.0,15.0,0
