type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0075,0.0,0.0,0.0,4
V0,0,I0076,0.0,0.0,5.0,4
V0,0,I0077,0.0,0.0,10.0,4
V0,0,I0078,0.0,0.0,15.0,4
V0,1,I0079,0.0,0.0,0.0,4
V0,1,I0080,0.0,0.0,5.0,4
V0,1,I0081,0.0,0.0,10.0,4
V0,1,I0082,0.0,0.0,15.0,4
V0,2,I0083,0.0,0.0,0.0,4
V0,2,I0084,0.0,0.0,5.0,4
V0,2,I0085,0.0,0.0,10.0,4
V0,2,I0086,0.0,0.0,15.0,4
V0,3,I0087,0.0,0.0,0.0,4
V0,3,I0088,0.0,0.0,5.0,4
V0,3,I0089,0.0,0.0,10.0,4
V0,3,I0090,0.0,0.0,15.0,4
V0,4,I0091,0.0,0.0,0.0,4
V0,4,I0092,0.0,0.0,5.0,4
V0,4,I0093,0.0,0.0,10.0,4
V0,4,I0094,0.0,0.0,15.0,4
V0,5,I0095,0.0,0.0,0.0,4
V0,5,I0096,0.0,0.0,5.0,4
V0,5,I0097,0.0,0.0,10.0,4
V0,5,I0098,0.0,0.0,15.0,4
V0,6,I0099,0.0,0.0,0.0,4
V0,6,I0100,0.0,0.0,5.0,4
V0,6,I0101,0.0,0.0,10.0,4
V0,6,I0102,0.0,0.0,15.0,4
V0,7,I0035,0.0,0.0,0.0,5
V0,7,I0036,0.0,10.0,0.0,1
V0,7,I0037,0.0,0.0,5.0,5
V0,7,I0038,0.0,0.0,10.0,4
V0,7,I0039,10.0,0.0,10.0,0
V0,7,I0040,0.0,0.0,15.0,4
V0,8,I0041,0.0,0.0,0.0,5
V0,8,I0042,0.0,10.0,0.0,1
V0,8,I0043,0.0,0.0,5.0,5
V0,8,I0044,0.0,0.0,10.0,4
V0,8,I0045,10.0,0.0,10.0,0
V0,8,I0046,0.0,0.0,15.0,4
V0,9,I0047,0.0,0.0,0.0,5
V0,9,I0048,0.0,10.0,0.0,1
V0,9,I0049,0.0,0.0,5.0,5
V0,9,I0050,0.0,0.0,10.0,4
V0,9,I0051,10.0,0.0,10.0,0
V0,9,I0052,0.0,0.0,15.0,4
V0,10,I0053,0.0,0.0,0.0,5
V0,10,I0054,0.0,10.0,0.0,1
V0,10,I0055,0.0,0.0,5.0,5
V0,10,I0056,0.0,0.0,10.0,4
V0,10,I0057,10.0,0.0,10.0,0
V0,10,I0058,0.0,0.0,15.0,4
V0,11,I0059,0.0,0.0,0.0,5
V0,11,I0060,0.0,10.0,0.0,1
V0,11,I0061,0.0,0.0,5.0,5
V0,11,I0062,0.0,0.0,10.0,4
V0,11,I0063,10.0,0.0,10.0,0
V0,11,I0064,0.0,0.0,15.0,4
V0,12,I0065,0.0,0.0,0.0,5
V0,12,I0066,0.0,10.0,0.0,1
V0,12,I0067,0.0,0.0,5.0,5
V0,12,I0068,0.0,0.0,10.0,4
V0,12,I0069,10.0,0.0,10.0,0
V0,12,I0070,0.0,0.0,15.0,4
V0,13,I0071,0.0,0.0,0.0,5
V0,13,I0072,0.0,10.0,0.0,1
V0,13,I0073,0.0,0.0,5.0,5
V0,13,I0074,0.0,0.0,10.0,4
V0,13,I0000,10.0,0.0,10.0,1
V0,13,I0001,10.0,10.0,10.0,4
V0,13,I0002,0.0,0.0,15.0,0
V0,13,I0003,0.0,5.0,15.0,0
V0,13,I0004,10.0,0.0,15.0,1
V0,13,I0005,0.0,10.0,15.0,0
V0,14,I0006,0.0,0.0,0.0,0
V0,14,I0007,0.0,5.0,0.0,0
V0,14,I0008,10.0,0.0,0.0,1
V0,14,I0009,0.0,10.0,0.0,0
V0,14,I0010,10.0,10.0,0.0,4
V0,14,I0011,0.0,0.0,5.0,0
V0,14,I0012,0.0,5.0,5.0,0
V0,14,I0013,10.0,0.0,5.0,1
V0,14,I0014,0.0,10.0,5.0,0
V0,14,I0015,0.0,0.0,10.0,0
V0,14,I0016,0.0,5.0,10.0,0
V0,14,I0017,10.0,0.0,10.0,1
V0,14,I0018,0.0,10.0,10.0,0
V0,14,I0019,10.0,10.0,10.0,4
V0,14,I0020,0.0,0.0,15.0,0
V0,14,I0021,0.0,5.0,15.0,0
V0,14,I0022,10.0,0.0,15.0,1
V0,14,I0023,0.0,10.0,15.0,0
V0,15,I0024,0.0,0.0,0.0,0
V0,15,I0025,0.0,5.0,0.0,0
V0,15,I0026,10.0,0.0,0.0,1
V0,15,I0027,0.0,10.0,0.0,0
V0,15,I0028,10.0,10.0,0.0,4
V0,15,I0029,0.0,0.0,5.0,0
V0,15,I0030,0.0,5.0,5.0,0
V0,15,I0031,10.0,0.0,5.0,1
V0,15,I0032,0.0,10.0,5.0,0
V0,15,I0033,0.0,0.0,10.0,0
V0,15,I0034,0.0,5.0,10.0,0
