type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0105,0.0,0.0,0.0,4
V0,0,I0106,12.0,0.0,0.0,0
V0,0,I0107,0.0,0.0,8.0,4
V0,0,I0000,0.0,12.0,0.0,5
V0,0,I0018,0.0,12.0,8.0,5
V0,0,I0037,16.0,0.0,12.0,4
V0,0,I0161,16.0,12.0,0.0,4
V0,1,I0108,0.0,0.0,0.0,4
V0,1,I0109,12.0,0.0,0.0,0
V0,1,I0110,0.0,0.0,8.0,4
V0,1,I0001,0.0,12.0,0.0,5
V0,1,I0019,0.0,12.0,8.0,5
V0,1,I0038,16.0,0.0,12.0,4
V0,1,I0162,16.0,12.0,0.0,4
V0,2,I0111,0.0,0.0,0.0,4
V0,2,I0112,12.0,0.0,0.0,0
V0,2,I0113,0.0,0.0,8.0,4
V0,2,I0002,0.0,12.0,0.0,5
V0,2,I0020,0.0,12.0,8.0,5
V0,2,I0039,16.0,0.0,12.0,4
V0,2,I0163,16.0,12.0,0.0,4
V0,3,I0114,0.0,0.0,0.0,4
V0,3,I0115,12.0,0.0,0.0,0
V0,3,I0116,0.0,0.0,8.0,4
V0,3,I0003,0.0,12.0,0.0,5
V0,3,I0021,0.0,12.0,8.0,5
V0,3,I0040,16.0,0.0,12.0,4
V0,3,I0164,16.0,12.0,0.0,4
V0,4,I0117,0.0,0.0,0.0,4
V0,4,I0118,12.0,0.0,0.0,0
V0,4,I0119,0.0,0.0,8.0,4
V0,4,I0004,0.0,12.0,0.0,5
V0,4,I0022,0.0,12.0,8.0,5
V0,4,I0041,16.0,0.0,12.0,4
V0,4,I0165,16.0,12.0,0.0,4
V0,5,I0120,0.0,0.0,0.0,4
V0,5,I0121,12.0,0.0,0.0,0
V0,5,I0122,0.0,0.0,8.0,4
V0,5,I0005,0.0,12.0,0.0,5
V0,5,I0023,0.0,12.0,8.0,5
V0,5,I0042,16.0,0.0,12.0,4
V0,5,I0166,16.0,12.0,0.0,4
V0,6,I0123,0.0,0.0,0.0,4
V0,6,I0124,12.0,0.0,0.0,0
V0,6,I0125,0.0,0.0,8.0,4
V0,6,I0006,0.0,12.0,0.0,5
V0,6,I0024,0.0,12.0,8.0,5
V0,6,I0043,16.0,0.0,12.0,4
V0,6,I0167,16.0,12.0,0.0,4
V0,7,I0126,0.0,0.0,0.0,4
V0,7,I0127,12.0,0.0,0.0,0
V0,7,I0128,0.0,0.0,8.0,4
V0,7,I0007,0.0,12.0,0.0,5
V0,7,I0025,0.0,12.0,8.0,5
V0,7,I0044,16.0,0.0,12.0,4
V0,7,I0168,16.0,12.0,0.0,4
V0,8,I0129,0.0,0.0,0.0,4
V0,8,I0130,12.0,0.0,0.0,0
V0,8,I0131,0.0,0.0,8.0,4
V0,8,I0008,0.0,12.0,0.0,5
V0,8,I0026,0.0,12.0,8.0,5
V0,8,I0045,12.0,0.0,12.0,0
V0,8,I0169,16.0,12.0,0.0,4
V0,9,I0132,0.0,0.0,0.0,4
V0,9,I0133,12.0,0.0,0.0,0
V0,9,I0134,0.0,0.0,8.0,4
V0,9,I0009,0.0,12.0,0.0,5
V0,9,I0027,0.0,12.0,8.0,5
