type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0020,0.0,0.0,0.0,3
V0,0,I0021,10.0,0.0,0.0,5
V0,0,I0022,0.0,8.0,0.0,4
V0,0,I0023,0.0,0.0,4.0,3
V0,0,I0024,0.0,0.0,8.0,2
V0,0,I0000,0.0,12.0,0.0,3
V0,0,I0010,8.0,12.0,0.0,1
V0,1,I0025,0.0,0.0,0.0,3
V0,1,I0026,10.0,0.0,0.0,5
V0,1,I0027,0.0,8.0,0.0,4
V0,1,I0028,0.0,0.0,4.0,3
V0,1,I0029,0.0,0.0,8.0,2
V0,1,I0001,0.0,12.0,0.0,3
V0,1,I0011,8.0,12.0,0.0,1
V0,2,I0030,0.0,0.0,0.0,3
V0,2,I0031,10.0,0.0,0.0,5
V0,2,I0032,0.0,8.0,0.0,4
V0,2,I0033,0.0,0.0,4.0,3
V0,2,I0034,0.0,0.0,8.0,2
V0,2,I0002,0.0,12.0,0.0,3
V0,2,I0012,8.0,12.0,0.0,1
V0,3,I0035,0.0,0.0,0.0,3
V0,3,I0036,10.0,0.0,0.0,5
V0,3,I0037,0.0,8.0,0.0,4
V0,3,I0038,0.0,0.0,4.0,3
V0,3,I0039,0.0,0.0,8.0,2
V0,3,I0003,0.0,12.0,0.0,3
V0,3,I0013,8.0,12.0,0.0,1
V0,4,I0040,0.0,0.0,0.0,3
V0,4,I0041,10.0,0.0,0.0,5
V0,4,I0042,0.0,8.0,0.0,4
V0,4,I0043,0.0,0.0,4.0,3
V0,4,I0044,0.0,0.0,8.0,2
V0,4,I0004,0.0,12.0,0.0,3
V0,4,I0014,8.0,12.0,0.0,1
V0,5,I0045,0.0,0.0,0.0,3
V0,5,I0046,10.0,0.0,0.0,5
V0,5,I0047,0.0,8.0,0.0,4
V0,5,I0048,0.0,0.0,4.0,3
V0,5,I0049,0.0,0.0,8.0,2
V0,5,I0005,0.0,12.0,0.0,3
V0,5,I0015,8.0,12.0,0.0,1
V0,6,I0050,0.0,0.0,0.0,3
V0,6,I0051,10.0,0.0,0.0,5
V0,6,I0052,0.0,8.0,0.0,4
V0,6,I0053,0.0,0.0,4.0,3
V0,6,I0054,0.0,0.0,8.0,2
V0,6,I0006,0.0,12.0,0.0,3
V0,6,I0016,8.0,12.0,0.0,1
V0,7,I0055,0.0,0.0,0.0,3
V0,7,I0056,10.0,0.0,0.0,5
V0,7,I0057,0.0,8.0,0.0,4
V0,7,I0058,0.0,0.0,4.0,3
V0,7,I0059,0.0,0.0,8.0,2
V0,7,I0007,0.0,12.0,0.0,3
V0,7,I0017,8.0,12.0,0.0,1
V0,8,I0060,0.0,0.0,0.0,3
V0,8,I0061,10.0,0.0,0.0,5
V0,8,I0062,0.0,8.0,0.0,4
V0,8,I0063,0.0,0.0,4.0,3
V0,8,I0064,0.0,0.0,8.0,2
V0,8,I0008,0.0,12.0,0.0,3
V0,8,I0018,8.0,12.0,0.0,1
V0,9,I0065,0.0,0.0,0.0,3
V0,9,I0066,10.0,0.0,0.0,5
V0,9,I0067,0.0,8.0,0.0,4
V0,9,I0068,0.0,0.0,4.0,3
V0,9,I0069,0.0,0.0,8.0,2
V0,9,I0009,0.0,12.0,0.0,3
V0,9,I0019,8.0,12.0,0.0,1
