type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0105,0.0,0.0,0.0,1
V0,0,I0000,12.0,0.0,0.0,3
V0,0,I0001,16.0,0.0,0.0,3
V0,0,I0163,0.0,0.0,12.0,0
V0,0,I0164,0.0,4.0,12.0,0
V0,1,I0106,0.0,0.0,0.0,1
V0,1,I0002,12.0,0.0,0.0,3
V0,1,I0003,16.0,0.0,0.0,3
V0,1,I0165,0.0,0.0,12.0,0
V0,1,I0166,0.0,4.0,12.0,0
V0,2,I0107,0.0,0.0,0.0,1
V0,2,I0004,12.0,0.0,0.0,3
V0,2,I0005,16.0,0.0,0.0,3
V0,2,I0167,0.0,0.0,12.0,0
V0,2,I0168,0.0,4.0,12.0,0
V0,3,I0108,0.0,0.0,0.0,1
V0,3,I0006,12.0,0.0,0.0,3
V0,3,I0007,16.0,0.0,0.0,3
V0,3,I0169,0.0,0.0,12.0,0
V0,3,I0170,0.0,4.0,12.0,0
V0,4,I0109,0.0,0.0,0.0,1
V0,4,I0008,12.0,0.0,0.0,3
V0,4,I0009,16.0,0.0,0.0,3
V0,4,I0171,0.0,0.0,12.0,0
V0,4,I0172,0.0,4.0,12.0,0
V0,5,I0110,0.0,0.0,0.0,1
V0,5,I0010,12.0,0.0,0.0,3
V0,5,I0011,16.0,0.0,0.0,3
V0,5,I0173,0.0,0.0,12.0,0
V0,5,I0174,0.0,4.0,12.0,0
V0,6,I0111,0.0,0.0,0.0,1
V0,6,I0012,12.0,0.0,0.0,3
V0,6,I0013,16.0,0.0,0.0,3
V0,6,I0175,0.0,0.0,12.0,0
V0,6,I0176,0.0,4.0,12.0,0
V0,7,I0112,0.0,0.0,0.0,1
V0,7,I0014,12.0,0.0,0.0,3
V0,7,I0015,16.0,0.0,0.0,3
V0,7,I0177,0.0,0.0,12.0,0
V0,7,I0178,0.0,4.0,12.0,0
V0,8,I0113,0.0,0.0,0.0,1
V0,8,I0016,12.0,0.0,0.0,3
V0,8,I0017,16.0,0.0,0.0,3
V0,8,I0179,0.0,0.0,12.0,0
V0,9,I0114,0.0,0.0,0.0,1
V0,9,I0018,12.0,0.0,0.0,3
V0,9,I0019,16.0,0.0,0.0,3
V0,10,I0115,0.0,0.0,0.0,1
V0,10,I0020,12.0,0.0,0.0,3
V0,10,I0021,16.0,0.0,0.0,3
V0,11,I0116,0.0,0.0,0.0,1
V0,11,I0022,12.0,0.0,0.0,3
V0,11,I0023,16.0,0.0,0.0,3
V0,12,I0117,0.0,0.0,0.0,1
V0,12,I0024,12.0,0.0,0.0,3
V0,12,I0025,16.0,0.0,0.0,3
V0,13,I0118,0.0,0.0,0.0,1
V0,13,I0026,12.0,0.0,0.0,3
V0,13,I0027,16.0,0.0,0.0,3
V0,14,I0119,0.0,0.0,0.0,1
V0,14,I0028,12.0,0.0,0.0,3
V0,14,I0029,16.0,0.0,0.0,3
V0,15,I0120,0.0,0.0,0.0,1
V0,15,I0030,12.0,0.0,0.0,3
V0,15,I0031,16.0,0.0,0.0,3
V0,16,I0121,0.0,0.0,0.0,1
V0,16,I0032,12.0,0.0,0.0,3
V0,16,I0033,16.0,0.0,0.0,3
V0,17,I0122,0.0,0.0,0.0,1
V0,17,I0034,12.0,0.0,0.0,3
V0,17,I0035,16.0,0.0,0.0,3
V0,18,I0123,0.0,0.0,0.0,1
V0,18,I0036,12.0,0.0,0.0,3
V0,18,I0037,16.0,0.0,0.0,3
V0,19,I0124,0.0,0.0,0.0,1
V0,19,I0038,12.0,0.0,0.0,3
V0,19,I0039,16.0,0.0,0.0,3
V0,20,I0125,0.0,0.0,0.0,1
V0,20,I0040,12.0,0.0,0.0,3
V0,20,I0041,16.0,0.0,0.0,3
V0,21,I0126,0.0,0.0,0.0,1
V0,21,I0042,12.0,0.0,0.0,3
V0,21,I0043,16.0,0.0,0.0,3
V0,22,I0127,0.0,0.0,0.0,1
V0,22,I0044,12.0,0.0,0.0,3
V0,22,I0157,16.0,0.0,0.0,4
V0,22,I0158,16.0,4.0,0.0,4
V0,23,I0128,0.0,0.0,0.0,1
V0,23,I0045,12.0,0.0,0.0,0
V0,23,I0072,12.0,0.0,8.0,0
V0,24,I0129,0.0,0.0,0.0,1
V0,24,I0046,12.0,0.0,0.0,0
V0,24,I0073,12.0,0.0,8.0,0
V0,25,I0130,0.0,0.0,0.0,1
V0,25,I0047,12.0,0.0,0.0,0
