type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V0,0,I0105,0.0,0.0,0.0,4
V0,0,I0106,12.0,0.0,0.0,4
V0,0,I0107,0.0,0.0,8.0,4
V0,0,I0108,12.0,0.0,8.0,4
V0,1,I0109,0.0,0.0,0.0,4
V0,1,I0110,12.0,0.0,0.0,4
V0,1,I0111,0.0,0.0,8.0,4
V0,1,I0112,12.0,0.0,8.0,4
V0,2,I0113,0.0,0.0,0.0,4
V0,2,I0114,12.0,0.0,0.0,4
V0,2,I0115,0.0,0.0,8.0,4
V0,2,I0116,12.0,0.0,8.0,4
V0,3,I0117,0.0,0.0,0.0,4
V0,3,I0118,12.0,0.0,0.0,4
V0,3,I0119,0.0,0.0,8.0,4
V0,3,I0120,12.0,0.0,8.0,4
V0,4,I0121,0.0,0.0,0.0,4
V0,4,I0122,12.0,0.0,0.0,4
V0,4,I0123,0.0,0.0,8.0,4
V0,4,I0124,12.0,0.0,8.0,4
V0,5,I0125,0.0,0.0,0.0,4
V0,5,I0126,12.0,0.0,0.0,4
V0,5,I0127,0.0,0.0,8.0,4
V0,5,I0128,12.0,0.0,8.0,4
V0,6,I0129,0.0,0.0,0.0,4
V0,6,I0130,12.0,0.0,0.0,4
V0,6,I0131,0.0,0.0,8.0,4
V0,6,I0132,12.0,0.0,8.0,4
V0,7,I0133,0.0,0.0,0.0,4
V0,7,I0134,12.0,0.0,0.0,4
V0,7,I0135,0.0,0.0,8.0,4
V0,7,I0136,12.0,0.0,8.0,4
V0,8,I0137,0.0,0.0,0.0,4
V0,8,I0138,12.0,0.0,0.0,4
V0,8,I0139,0.0,0.0,8.0,4
V0,8,I0140,12.0,0.0,8.0,4
V0,9,I0141,0.0,0.0,0.0,4
V0,9,I0142,12.0,0.0,0.0,4
V0,9,I0143,0.0,0.0,8.0,4
V0,9,I0144,12.0,0.0,8.0,4
V0,10,I0145,0.0,0.0,0.0,4
V0,10,I0146,12.0,0.0,0.0,4
V0,10,I0147,0.0,0.0,8.0,4
V0,10,I0148,12.0,0.0,8.0,4
V0,11,I0149,0.0,0.0,0.0,4
V0,11,I0150,12.0,0.0,0.0,4
V0,11,I0151,0.0,0.0,8.0,4
V0,11,I0152,12.0,0.0,8.0,4
V0,12,I0153,0.0,0.0,0.0,4
V0,12,I0154,12.0,0.0,0.0,4
V0,12,I0000,0.0,0.0,8.0,1
V0,12,I0001,0.0,8.0,8.0,5
V0,12,I0002,0.0,0.0,12.0,1
V0,12,I0045,16.0,0.0,8.0,0
V0,13,I0003,0.0,0.0,0.0,1
V0,13,I0004,0.0,8.0,0.0,5
V0,13,I0005,16.0,0.0,0.0,3
V0,13,I0006,20.0,0.0,0.0,3
V0,13,I0007,16.0,8.0,0.0,2
V0,13,I0008,0.0,0.0,4.0,1
V0,13,I0009,0.0,0.0,8.0,1
V0,13,I0010,0.0,8.0,8.0,5
V0,13,I0011,0.0,0.0,12.0,1
V0,14,I0012,0.0,0.0,0.0,1
V0,14,I0013,0.0,8.0,0.0,5
V0,14,I0014,16.0,0.0,0.0,3
V0,14,I0015,20.0,0.0,0.0,3
V0,14,I0016,16.0,8.0,0.0,2
V0,14,I0017,0.0,0.0,4.0,1
V0,14,I0018,0.0,0.0,8.0,1
V0,14,I0019,0.0,8.0,8.0,5
V0,14,I0020,0.0,0.0,12.0,1
V0,15,I0021,0.0,0.0,0.0,1
V0,15,I0022,0.0,8.0,0.0,5
V0,15,I0023,16.0,0.0,0.0,3
V0,15,I0024,20.0,0.0,0.0,3
V0,15,I0025,16.0,8.0,0.0,2
V0,15,I0026,0.0,0.0,4.0,1
V0,15,I0027,0.0,0.0,8.0,1
V0,15,I0028,0.0,8.0,8.0,5
V0,15,I0029,0.0,0.0,12.0,1
V0,16,I0030,0.0,0.0,0.0,1
V0,16,I0031,0.0,8.0,0.0,5
V0,16,I0032,16.0,0.0,0.0,3
V0,16,I0033,20.0,0.0,0.0,3
V0,16,I0034,16.0,8.0,0.0,2
V0,16,I0035,0.0,0.0,4.0,1
V0,16,I0036,0.0,0.0,8.0,1
V0,16,I0037,0.0,8.0,8.0,5
V0,16,I0038,0.0,0.0,12.0,1
V0,17,I0039,0.0,0.0,0.0,1
V0,17,I0040,0.0,8.0,0.0,5
V0,17,I0041,16.0,0.0,0.0,3
V0,17,I0042,20.0,0.0,0.0,3
V0,17,I0043,16.0,8.0,0.0,2
V0,17,I0044,0.0,0.0,4.0,1
V0,17,I0046,0.0,0.0,8.0,0
V0,17,I0047,8.0,0.0,8.0,0
V0,18,I0048,0.0,0.0,0.0,0
V0,18,I0049,8.0,0.0,0.0,0
V0,18,I0050,16.0,0.0,0.0,0
V0,18,I0051,0.0,0.0,8.0,0
V0,18,I0052,8.0,0.0,8.0,0
V0,18,I0053,16.0,0.0,8.0,0
V0,18,I0155,0.0,8.0,0.0,0
V0,18,I0156,12.0,8.0,0.0,0
V0,18,I0175,0.0,8.0,4.0,0
V0,19,I0054,0.0,0.0,0.0,0
V0,19,I0055,8.0,0.0,0.0,0
V0,19,I0056,16.0,0.0,0.0,0
V0,19,I0057,0.0,0.0,8.0,0
V0,19,I0058,8.0,0.0,8.0,0
V0,19,I0059,16.0,0.0,8.0,0
V0,19,I0157,0.0,8.0,0.0,0
V0,19,I0158,12.0,8.0,0.0,0
V0,19,I0176,0.0,8.0,4.0,0
V0,20,I0060,0.0,0.0,0.0,0
V0,20,I0061,8.0,0.0,0.0,0
V0,20,I0062,16.0,0.0,0.0,0
V0,20,I0063,0.0,0.0,8.0,0
V0,20,I0064,8.0,0.0,8.0,0
V0,20,I0065,16.0,0.0,8.0,0
V0,20,I0159,0.0,8.0,0.0,0
V0,20,I0160,12.0,8.0,0.0,0
V0,20,I0177,0.0,8.0,4.0,0
V0,21,I0066,0.0,0.0,0.0,0
V0,21,I0067,8.0,0.0,0.0,0
V0,21,I0068,16.0,0.0,0.0,0
V0,21,I0069,0.0,0.0,8.0,0
V0,21,I0070,8.0,0.0,8.0,0
V0,21,I0071,16.0,0.0,8.0,0
V0,21,I0161,0.0,8.0,0.0,0
V0,21,I0162,12.0,8.0,0.0,0
V0,21,I0178,0.0,8.0,4.0,0
V0,22,I0072,0.0,0.0,0.0,0
V0,22,I0073,8.0,0.0,0.0,0
V0,22,I0074,16.0,0.0,0.0,0
V0,22,I0075,0.0,0.0,8.0,0
V0,22,I0076,8.0,0.0,8.0,0
V0,22,I0077,16.0,0.0,8.0,0
V0,22,I0163,0.0,8.0,0.0,0
V0,22,I0164,12.0,8.0,0.0,0
V0,22,I0179,0.0,8.0,4.0,0
V0,23,I0078,0.0,0.0,0.0,0
V0,23,I0079,8.0,0.0,0.0,0
V0,23,I0080,16.0,0.0,0.0,0
V0,23,I0081,0.0,0.0,8.0,0
V0,23,I0082,8.0,0.0,8.0,0
V0,23,I0083,16.0,0.0,8.0,0
V0,23,I0165,0.0,8.0,0.0,0
V0,23,I0166,12.0,8.0,0.0,0
V0,24,I0084,0.0,0.0,0.0,0
V0,24,I0085,8.0,0.0,0.0,0
V0,24,I0086,16.0,0.0,0.0,0
V0,24,I0087,0.0,0.0,8.0,0
V0,24,I0088,8.0,0.0,8.0,0
V0,24,I0089,16.0,0.0,8.0,0
V0,24,I0167,0.0,8.0,0.0,0
V0,24,I0168,12.0,8.0,0.0,0
V0,25,I0090,0.0,0.0,0.0,0
V0,25,I0091,8.0,0.0,0.0,0
V0,25,I0092,16.0,0.0,0.0,0
V0,25,I0093,0.0,0.0,8.0,0
V0,25,I0094,8.0,0.0,8.0,0
V0,25,I0095,16.0,0.0,8.0,0
V0,25,I0169,0.0,8.0,0.0,0
V0,25,I0170,12.0,8.0,0.0,0
V0,26,I0096,0.0,0.0,0.0,0
V0,26,I0097,8.0,0.0,0.0,0
V0,26,I0098,16.0,0.0,0.0,0
V0,26,I0099,0.0,0.0,8.0,0
V0,26,I0100,8.0,0.0,8.0,0
V0,26,I0101,16.0,0.0,8.0,0
V0,26,I0171,0.0,8.0,0.0,0
V0,26,I0172,12.0,8.0,0.0,0
V0,27,I0102,0.0,0.0,0.0,0
V0,27,I0103,8.0,0.0,0.0,0
V0,27,I0104,16.0,0.0,0.0,0
V0,27,I0173,0.0,8.0,0.0,0
V0,27,I0174,12.0,8.0,0.0,0
